img_id,dice,ece,brier,sparsification_error,uncertain_pixel_percent,max_calibration_error,mean_abs_calib_error,error_auroc,error_auprc
IDRiD_78,0.5241809487342834,0.0005064221331849694,0.0004925354733131826,0.9337257561050134,0.03999999910593033,0.49426180124282837,0.2831708788871765,0.9943097200515744,0.48314505373939926
IDRiD_74,0.7336244583129883,4.831703336094506e-05,7.966981502249837e-05,0.9363006255728183,0.019591838121414185,0.4318028688430786,0.14203611016273499,0.9999331800389067,0.6398725469725004
IDRiD_72,0.0,5.307546234689653e-05,5.809992580907419e-05,0.914238587367041,0.003469387535005808,0.42947691679000854,0.11711142212152481,0.971542498449083,0.0009310352753632459
IDRiD_77,0.6070878505706787,0.0003848334599751979,0.0004445061495061964,1.0253575089369904,0.009591836482286453,0.32932543754577637,0.15993812680244446,0.9991782678420683,0.314525950834238
IDRiD_79,0.4156079888343811,0.0011936199152842164,0.0011794711463153362,0.9691581087264971,0.015714285895228386,0.599552571773529,0.23824992775917053,0.9986128428698202,0.4904482735267213
IDRiD_76,0.0,4.998502117814496e-05,5.5095548304961994e-05,1.0720809642301907,0.0,4.998502117814496e-05,4.998501935915556e-06,0.9773503770540342,0.0012093260295626368
IDRiD_75,0.683783769607544,0.0006461288430728018,0.0006551918922923505,0.9705564912103657,0.13020408153533936,0.4652121663093567,0.2059391438961029,0.9996139387900295,0.6853953070725558
IDRiD_69,0.2777777910232544,0.00029286983772180974,0.0003056982532143593,0.9814067948927032,0.03918367624282837,0.758167564868927,0.32765012979507446,0.9817947011492303,0.03616898526632544
IDRiD_71,0.6604925394058228,0.0027598196174949408,0.002768827835097909,0.9881479465112637,0.02857142873108387,0.5109663605690002,0.2866033911705017,0.9966207167346407,0.35130166212909775
IDRiD_70,0.8063227534294128,0.0034964841324836016,0.0036244315560907125,0.9657248851450632,0.38836735486984253,0.4405762255191803,0.24747848510742188,0.9963559166754319,0.5022448030733322
