img_id,ece,fraction_positive,mean_confidence,confidence_std
IDRiD_79,0.9549531936645508,0.03958508,0.03755292,0.17905095
IDRiD_80,0.9987602829933167,0.0008520958,0.00080276973,0.02232108
IDRiD_81,0.9575056433677673,0.03856622,0.033166528,0.17030415
