img_id,dice,ece,sparsification_error,uncertainty_error_dice,error_auroc,error_auprc
IDRiD_78,0.486550897359848,0.0009462410234846175,0.677173757462584,0.12502673268318176,0.8766352642779018,0.1930366229351107
IDRiD_74,0.49557849764823914,0.0013352046953514218,0.5102596895727547,0.19430644810199738,0.8569494481548087,0.28074578980587334
IDRiD_72,0.5086326599121094,0.0006414270028471947,0.7351339650765113,0.11955036967992783,0.9219261134969888,0.1524974694443707
IDRiD_77,0.4879515469074249,0.0008832785533741117,0.5900778179374816,0.15485884249210358,0.8806501406895217,0.2741687990021432
IDRiD_79,0.28034281730651855,0.0015873339725658298,0.8200152207516004,0.09687439352273941,0.9121517276511748,0.20366239778137166
IDRiD_76,0.5403711199760437,0.001447848160751164,0.7173871043174682,0.08802678436040878,0.8957828537767146,0.24847491426669047
IDRiD_75,0.5471561551094055,0.0017008529976010323,0.6365380153995944,0.06346359103918076,0.8906289662196615,0.21629193162693827
IDRiD_71,0.32701045274734497,0.0016069873236119747,0.7655137292458277,0.14769867062568665,0.892895765878463,0.2279907756861328
IDRiD_73,0.41017526388168335,0.0007572744507342577,0.6572639110822711,0.08126877248287201,0.8748556634439556,0.1896931500634057
IDRiD_80,0.47388342022895813,5.1073649956379086e-05,0.9576893416320053,0.18475750088691711,0.9708614053243159,0.1807680439719879
IDRiD_81,0.44775688648223877,0.0009059584117494524,0.576861071395153,0.10424166172742844,0.8680865196296934,0.19536086092225743
