img_id,ece,fraction_positive,mean_confidence,confidence_std
IDRiD_78,0.00593756977468729,0.0116269905,0.0139997145,0.11205294
IDRiD_77,0.006360688246786594,0.0119623495,0.01076478,0.09812927
IDRiD_79,0.013956974260509014,0.039716367,0.04382795,0.19677754
IDRiD_80,0.0005637648864649236,0.0008537914,0.000538896,0.022236975
IDRiD_81,0.01012479979544878,0.038596407,0.037819598,0.18421859
