img_id,dice,ece,brier,sparsification_error,uncertain_pixel_percent,max_calibration_error,mean_abs_calib_error,error_auroc,error_auprc
IDRiD_78,0.6312941908836365,0.004107113461941481,0.004469599109143019,0.6978514157024769,0.1634044647216797,0.3705987334251404,0.16106681525707245,0.8641548046738096,0.19304581683198319
IDRiD_74,0.6983778476715088,0.0005670529790222645,0.0010558536741882563,0.879463412585411,0.1191001832485199,0.26043838262557983,0.10804889351129532,0.9735772849248038,0.2849404116442568
IDRiD_72,0.7630943655967712,0.0047503188252449036,0.00505866389721632,0.9205249759448196,0.34276437759399414,0.42869049310684204,0.20780959725379944,0.9813376479331558,0.37955055377422753
IDRiD_77,0.5940697193145752,0.004121551290154457,0.004879688378423452,0.7649487846233342,0.2901020348072052,0.2968266010284424,0.1226879134774208,0.9115524532990581,0.3369482232956995
IDRiD_79,0.7335965037345886,0.010360881686210632,0.011775530874729156,0.8649848143405062,0.32465675473213196,0.34303492307662964,0.14423342049121857,0.9537209582967326,0.37434910430868945
IDRiD_76,0.6044003367424011,0.003113136626780033,0.0035067787393927574,0.8718877915188161,0.16362708806991577,0.3024179935455322,0.14398913085460663,0.9328158381664022,0.20402377554190437
IDRiD_75,0.6394544839859009,0.0006749592139385641,0.0009269228903576732,0.8612897193851341,0.051558442413806915,0.22403176128864288,0.10495022684335709,0.9509775904618635,0.2077912390929691
IDRiD_69,0.4491245150566101,0.0032037512864917517,0.0037794983945786953,0.6320230760072881,0.22362707555294037,0.37804049253463745,0.1928967982530594,0.8913565999318064,0.3524456983497062
IDRiD_71,0.7314451932907104,0.00814511813223362,0.00965975597500801,0.8642443765686414,0.8188126683235168,0.42517077922821045,0.15408316254615784,0.9626098908300568,0.40768569015834216
IDRiD_70,0.04322459176182747,0.00538885360583663,0.0056235091760754585,0.1839995203437481,0.013608534820377827,0.5522104501724243,0.2628646492958069,0.37130769208103276,0.02260807849333686
