img_id,dice,ece,brier,nll,sparsification_error,uncertain_pixel_percent,mean_entropy,mean_mutual_info,mean_coeff_variation,uncertainty_error_dice,max_calibration_error,mean_abs_calib_error,error_auroc,error_auprc
IDRiD_78,0.7770751118659973,0.0026609974447637796,0.0031982348300516605,0.015587558038532734,0.9493599866273089,0.048589978367090225,0.0029758780729025602,0.00019132716988679022,0.5418805480003357,0.10820025950670242,0.2980295419692993,0.12151193618774414,0.9894962252032412,0.34211017321714215
IDRiD_74,0.725345253944397,0.0009283290128223598,0.0011059598764404655,0.0050941575318574905,0.9632808390180796,0.04287569597363472,0.0013530147261917591,0.00017009231669362634,0.8193308711051941,0.17165109515190125,0.4141080379486084,0.1734420359134674,0.9961348771508365,0.297924998144264
IDRiD_72,0.8658372759819031,0.0024768018629401922,0.0032965531572699547,0.013562235981225967,0.9640903852045974,0.030482374131679535,0.0039845965802669525,0.00016721533029340208,0.4253506362438202,0.06348872929811478,0.2493535876274109,0.09793008863925934,0.9947942752309341,0.36442737385227947
IDRiD_77,0.7141640782356262,0.0032411336433142424,0.003838241333141923,0.02245982363820076,0.9370445352075555,0.06992578506469727,0.002981489524245262,0.00026754289865493774,0.6895779967308044,0.13395442068576813,0.21755395829677582,0.09358380734920502,0.9828157616700085,0.31474564174902014
IDRiD_79,0.8507315516471863,0.006155058741569519,0.007566675078123808,0.0331089049577713,0.959789118875106,0.10415584594011307,0.007856481708586216,0.0004385658830869943,0.5283545255661011,0.08857272565364838,0.2983973026275635,0.1205950528383255,0.987840435659109,0.35438801223124483
IDRiD_76,0.7447639107704163,0.0024116910062730312,0.0027308487333357334,0.016766102984547615,0.9373899238850727,0.040964748710393906,0.0017809781711548567,0.00015919245197437704,0.9427786469459534,0.10743560642004013,0.25838804244995117,0.11670758575201035,0.9818586599158182,0.2866270301810296
IDRiD_75,0.7156848311424255,0.0007947880076244473,0.0009049690561369061,0.004398636985570192,0.9192919822111607,0.009981446899473667,0.0009134610882028937,4.498833368415944e-05,0.47888919711112976,0.08427926898002625,0.41142737865448,0.17589071393013,0.9887767537839909,0.3497960894229193
IDRiD_69,0.5640271902084351,0.003968114964663982,0.004095090087503195,0.024532591924071312,0.8956749729995296,0.05416512116789818,0.0019461204065009952,0.0001941408554557711,0.48145899176597595,0.11959760636091232,0.5515121221542358,0.24987661838531494,0.9745387340428855,0.35662653566435343
IDRiD_71,0.8430988788604736,0.0057297516614198685,0.006964670494198799,0.02920757234096527,0.9602147329488872,0.07568645477294922,0.007398646790534258,0.00038076090277172625,0.4505529999732971,0.07616504281759262,0.3273719549179077,0.13268759846687317,0.9898510512755475,0.3713856791940198
IDRiD_70,0.17035917937755585,0.005250364542007446,0.005294382106512785,0.05506867915391922,0.7284965152025646,0.011901669204235077,0.0002855552011169493,3.124774229945615e-05,0.5169744491577148,0.01904470846056938,0.24831366539001465,0.11767031997442245,0.8816306899142597,0.25655931382584723
